Dishes,Tomato,onion,capsicum,bread,dough,chicken,cheese,corn,rava,sabudana,masala,vegetables,dal,flour,rice,papad,butter
Pizza,1,2,2,0,1,1,2,1,0,0,0,1,0,1,0,0,1
Burger,1,1,0,2,2,1,2,0,0,0,0,1,0,0,0,0,0
Non Veg Thali,1,2,0,0,0,3,0,0,0,0,2,2,1,2,1,1,1
Veg Thali,1,1,1,0,0,0,0,1,0,0,2,4,2,2,1,1,1
Dosa,1,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1
Sandwich,1,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,2
Pav Bhaji,2,2,2,4,0,0,2,0,0,0,2,4,0,0,0,0,4
Misal,2,2,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0
idli,1,1,0,0,0,0,1,0,2,0,0,1,0,0,1,0,1
kichdi,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0
