Dishes,Tomato,onion,capsicum,bread,dough,chicken,cheese,corn,rava,sabudana,masala,vegetables,dal,flour,rice,papad,butter
Pizza,2,2,3,1,1,2,3,2,0,0,0,2,0,2,0,0,2
Burger,1,1,0,3,1,3,3,1,0,0,0,2,0,0,0,0,3
Non Veg Thali,2,3,1,1,0,4,1,2,1,1,4,4,2,1,2,2,3
Veg Thali,1,1,1,0,0,0,0,1,0,0,2,4,2,2,1,1,1
Dosa,1,2,1,0,0,0,2,0,3,0,1,2,0,0,0,0,2
Sandwich,2,2,2,3,0,2,3,0,0,0,1,3,0,0,0,0,4
Pav Bhaji,4,3,3,6,0,0,3,0,0,0,3,5,0,0,0,0,5
Misal,4,4,0,6,0,0,0,0,0,0,6,5,0,0,0,1,0
idli,2,2,1,0,0,0,2,0,4,0,0,2,0,0,2,0,2
kichdi,2,0,0,0,0,0,0,0,3,5,0,2,0,0,0,0,0
